; Extreme heat/cold:;Bending/Crouching:;CA;CA_ASSET;CA_REQD;CP;CP_ASSET;CP_REQD;Carrying:;Chemicals:;Climbing:;Confined spaces:;Date Revised:  (Select today’s date);Department: ;Driving:;EI;EI_ASSET;EI_REQD;ER;ER_ASSET;ER_REQD;Heights:;Keyboarding:;Kneeling/Crawling:;Lifting:;Light 11-20 pounds:;Location (city/site):;Manual tools:;Medium 21-50 pounds:;Moving equipment:;Night time:;Noise:;Office equipment:;On-call:;Operating equipment:;Outdoors:;POSITION SUMMARY:;Pneumatic tools:;Position Title:;Power tools:;Pushing/pulling:;Reports To (Position):;Rotating equipment:;Safety-Sensitive:;Sedentary 0-10 pounds:;Sedentary/Sitting:;Shift work:;Shop tools:;Standing:;TS;TS_ASSET;TS_REQD;Title (and #) of Direct Reports:;Tool belt worn:;Toxic gases:;Travel:;Uneven surfaces:;Vibration tools:;Walking:;Welding:;Wet or damp:;competencies;competency_group;responsabilities
63;;;BSc in Geology, or a related discipline;;BSc in Geology, or a related discipline;Eligible for Professional Geologist status with the Association of Professional Engineers, Geologists, and Geophysicists of Alberta (APEGGA);;Eligible for Professional Geologist status with the Association of Professional Engineers, Geologists, and Geophysicists of Alberta (APEGGA);;;;; 5-Jul-12;Subsurface Development;;Minimum 10 years' experience in the oil and gas industry as a Petroleum Geologist$$$%%%&&&Be adept at: geological interpretation techniques, reservoir characterization, drilling operations, in-place volumetric calculations (deterministic & probabilistic), wireline & LWD logging analysis, and other industry standard geological interpretation tools and techniques;;Minimum 10 years' experience in the oil and gas industry as a Petroleum Geologist$$$%%%&&&Be adept at: geological interpretation techniques, reservoir characterization, drilling operations, in-place volumetric calculations (deterministic & probabilistic), wireline & LWD logging analysis, and other industry standard geological interpretation tools and techniques;A sound knowledge of reservoir geology, reservoir engineering concepts related to flow simulation and log interpretation;;A sound knowledge of reservoir geology, reservoir engineering concepts related to flow simulation and log interpretation;;;;;;;;;;;;;;;;You will be responsible for stewarding the subsurface sampling and evaluation program related to the delineation of the Liwan 3-1 Field, as well as integrating the results of those evaluations into a static reservoir model to be used for OGIP and development planning. You will be tasked with carrying out quality control and result validation in conjunction with updating existing reservoir models and geological interpretation, in association with other Geoscientists and Reservoir Engineers and will provide operational support to the team as required. Working as a key member of a multidisciplinary team, this role is best suited to a proactive individual able to meet objectives and timelines and capable of adapting to changes in work practices/job activities. As an industry professional, you will seek out learning opportunities and transfer new skills and knowledge to the job. ;;Senior Staff Development Geologist;;;Subsurface Manager, Asia Pacific;;<Click to select>;;;;;;"Fully proficient in static reservoir modeling along with significant ""hands on"" practice in the use of PETREL modeling software$$$%%%&&&Superior analytical skills to identify key issues based on relevant data and provide appropriate solutions/recommendations$$$%%%&&&Excellent oral and written communication skills, including presentation skills$$$%%%&&&Ability to work and communicate effectively, both internally and externally, including with other companies and government agencies";;"Fully proficient in static reservoir modeling along with significant ""hands on"" practice in the use of PETREL modeling software$$$%%%&&&Superior analytical skills to identify key issues based on relevant data and provide appropriate solutions/recommendations$$$%%%&&&Excellent oral and written communication skills, including presentation skills$$$%%%&&&Ability to work and communicate effectively, both internally and externally, including with other companies and government agencies";;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Taking the lead in developing geo-cellular reservoir models with input into reservoir simulation models that accurately reflect all the available geological and reservoir engineering data for the field(s)$$$%%%&&&Defining, interpreting and validating geo-cellular models including updating for well results, and assisting in defining development well locations.$$$%%%&&&Identifying risks and risk mitigation strategies/ actions$$$%%%&&&Assisting in the planning and execution of depletion/drilling strategies within a team environment.$$$%%%&&&Evaluating the reservoir risks and uncertainties associated with in-place volumetrics and well planning$$$%%%&&&Defining evaluation programs & participating in the follow up analysis of well results, including presentations to management and partners$$$%%%&&&Assisting in the preparation of regulatory applications/documents and interfacing with the Chinese National Offshore Oil Company (CNOOC)$$$%%%&&&Keeping informed of technical advancements in the field of reservoir modeling
64;;;A B.Sc./M.Sc. degree in the Geosciences;;A B.Sc./M.Sc. degree in the Geosciences;"APEGGA ""Professional Geologist"" designation or eligibility for same";;"APEGGA ""Professional Geologist"" designation or eligibility for same";;;;; 5-Jul-12;Subsurface Development;;Sound geological knowledge of Chinese petroleum systems (onshore exploration and offshore operational) with particular emphasis on offshore exploration;;Sound geological knowledge of Chinese petroleum systems (onshore exploration and offshore operational) with particular emphasis on offshore exploration;"At least 10 years of industry experience; 10 years of Exploration geology experience; and 5 years of offshore experience$$$%%%&&&Experience with offshore projects and data$$$%%%&&&Well log interpretation; 3D and 2D seismic interpretation$$$%%%&&&Working knowledge of basin modeling and source rocks$$$%%%&&&An understanding of geophysics, seismic interpretation and geophysical workstation experience$$$%%%&&&A very strong geological background with an understanding of both clastic and carbonate depositional systems including lacustrine, shallow and deepwater environments$$$%%%&&&Sound knowledge in facies identification and descriptions from core, cutting and petrophysical data$$$%%%&&&Demonstrated competency in structural and stratigraphic interpretation techniques";;"At least 10 years of industry experience; 10 years of Exploration geology experience; and 5 years of offshore experience$$$%%%&&&Experience with offshore projects and data$$$%%%&&&Well log interpretation; 3D and 2D seismic interpretation$$$%%%&&&Working knowledge of basin modeling and source rocks$$$%%%&&&An understanding of geophysics, seismic interpretation and geophysical workstation experience$$$%%%&&&A very strong geological background with an understanding of both clastic and carbonate depositional systems including lacustrine, shallow and deepwater environments$$$%%%&&&Sound knowledge in facies identification and descriptions from core, cutting and petrophysical data$$$%%%&&&Demonstrated competency in structural and stratigraphic interpretation techniques";;;;;;Shekou, China;;;;;;;;;;"Working with a small group of geologists, geophysicists and engineers, your primary responsibilities will include the various geological activities required to support activities within Husky's current exploration portfolio in offshore China, as well as developing additional new venture exploration opportunities. These activities will include: Petroleum Systems analysis, play and prospect generation, geological mapping, providing recommendations for drilling locations, generating well Basis of Design documents for drilling and well evaluation programs; and providing technical evaluation of drilling results. You will also be responsible for identifying, evaluating and recommending new exploration opportunities both offshore and onshore China. ";;Senior Staff Geologist;;;Subsurface Manager, Asia Pacific;;<Click to select>;;;;;;Proven track record in prospect generation and mapping with an ability to integrate work into regional geological models$$$%%%&&&Experience with a range of geological software including Geographix, or equivalent$$$%%%&&&Excellent time management, multi-tasking and organizational skills with the ability to work with tight timelines$$$%%%&&&Strong command of the English language, with good oral and written communication skills;;Proven track record in prospect generation and mapping with an ability to integrate work into regional geological models$$$%%%&&&Experience with a range of geological software including Geographix, or equivalent$$$%%%&&&Excellent time management, multi-tasking and organizational skills with the ability to work with tight timelines$$$%%%&&&Strong command of the English language, with good oral and written communication skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Basin analysis evaluations$$$%%%&&&Data room evaluations, including both quick-look and detailed assessments$$$%%%&&&Play and prospect generation through application of a Petroleum Systems approach$$$%%%&&&Interpreting well data and incorporating seismic data into geological interpretations$$$%%%&&&Identifying, evaluating and recommending new exploration opportunities$$$%%%&&&Preparing recommendations and documentation in support of drilling and evaluation programs$$$%%%&&&Providing geological inputs and analysis for hydrocarbon volumetric evaluations$$$%%%&&&Developing and recommending well locations and evaluation programs$$$%%%&&&Implementing project plans and schedules in a timely manner$$$%%%&&&Contributing to the creation of a culture of strong and effective team work$$$%%%&&&Interfacing effectively with all stakeholders, including partners (especially CNOOC), government authorities and contractors
65;;;A B.Sc. P. Geoph. designation is required$$$%%%&&&A M.Sc. degree in the Geosciences;A M.Sc. degree in the Geosciences;A B.Sc. P. Geoph. designation is required;;;;;;;; 5-Jul-12;Subsurface Development;;A minimum of 10 years in oil and gas exploration or development;;A minimum of 10 years in oil and gas exploration or development;Experience with time to depth conversions$$$%%%&&&Knowledge of basic data acquisition and processing principles$$$%%%&&&Some experience with AVO inversion techniques$$$%%%&&&Some familiarity with seismic inversion processes;Knowledge of basic data acquisition and processing principles$$$%%%&&&Some experience with AVO inversion techniques$$$%%%&&&Some familiarity with seismic inversion processes;Experience with time to depth conversions;;;;;;Shekou, China;;;;;;;;;;In this role, you will combine the seismic data with the geological information to provide a more complete interpretation of the zones of interest in the subsurface environment. You will provide recommendations to management for future work required on the project. ;;Senior Staff Geophysicist;;;Subsurface Manager;;<Click to select>;;;;;;Extensive experience using standard interpretation software such as Seisware or equivalent$$$%%%&&&Ability to work cooperatively as part of a geosciences team$$$%%%&&&Experience using Petrel software for seismic applications;Experience using Petrel software for seismic applications;Extensive experience using standard interpretation software such as Seisware or equivalent$$$%%%&&&Ability to work cooperatively as part of a geosciences team;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;Supervise the planning and execution of seismic program design and acquisition$$$%%%&&&Supervise the processing of the seismic data$$$%%%&&&Tie the seismic data to the geologic control$$$%%%&&&Produce an interpretation of the seismic data consistent with the geology$$$%%%&&&Work cooperatively as part of the Geoscience team$$$%%%&&&Make recommendations for drilling$$$%%%&&&Carry out advanced interpretation processes on the seismic data such as inversions on multi-component seismic$$$%%%&&&Make presentations of results to a multi-disciplinary team$$$%%%&&&Husky Operational Integrity Management System (HOIMS) awareness and application within role$$$%%%&&&Support the HOIMS by developing, implementing, practicing and/or communicating appropriate processes, systems and procedures with a focus on Health, Safety and Environment (HSE). Related processes and systems must be implemented such that project, corporate and legislative standards are met.
66;;;BSc or higher in Engineering;;BSc or higher in Engineering;Registered member of APEGGA;;Registered member of APEGGA;;;;; 5-Jul-12;Subsurface Development;;At least 10 years of petroleum industry experience, primarily in reservoir and exploitation engineering$$$%%%&&&Experience of offshore oil & gas field development would be advantageous;;At least 10 years of petroleum industry experience, primarily in reservoir and exploitation engineering$$$%%%&&&Experience of offshore oil & gas field development would be advantageous;Demonstrated sound knowledge of reservoir engineering, with a focus towards offshore field developments$$$%%%&&&Experience in laboratory testing and application thereof (Compositional Analysis, PVT, Petrology, SCAL and Routine Core analysis) would be advantageous$$$%%%&&&Experience of developing field depletion plans and writing and presenting ODP reports$$$%%%&&&Thorough understanding of both Canadian & SEC rules regarding reserve/ resource  booking, especially as pertains to international properties$$$%%%&&&Working knowledge of fiscal regimes typically found in Asia Pacific$$$%%%&&&Strong knowledge of pressure transient analysis (PTA)$$$%%%&&&Working knowledge of reservoir simulation, geology and geophysics;Experience in laboratory testing and application thereof (Compositional Analysis, PVT, Petrology, SCAL and Routine Core analysis) would be advantageous;Demonstrated sound knowledge of reservoir engineering, with a focus towards offshore field developments$$$%%%&&&Experience of developing field depletion plans and writing and presenting ODP reports$$$%%%&&&Thorough understanding of both Canadian & SEC rules regarding reserve/ resource  booking, especially as pertains to international properties$$$%%%&&&Working knowledge of fiscal regimes typically found in Asia Pacific$$$%%%&&&Strong knowledge of pressure transient analysis (PTA)$$$%%%&&&Working knowledge of reservoir simulation, geology and geophysics;;;;;;SK Office;;;;;;;;;;Provide reservoir engineering support to the Asia Pacific business unit in general, including  Block 29/26 Subsurface/ Development team, New Ventures Exploration team, Wenchang field (non operated) & BD field (non operated).This position represents a key technical position providing reservoir engineering support to the various groups in the Asia Pacific business unit as well as having responsibility/ ownership of “corporate” & business unit reserve reporting, long range plan coordination & other corporate functions as required. ;;Senior Staff Reservoir Engineer;;;Subsurface Manager, Asia Pacific;;<Click to select>;;;;;;Strong command of the English language, with good oral and written communication skills;;Strong command of the English language, with good oral and written communication skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Providing reservoir engineering support to the other reservoir engineers within the SE Asia business unit.$$$%%%&&&Providing reservoir engineering management, oversight & coordination for Wenchang oilfield, China (non operated) as may be required$$$%%%&&&Providing reservoir engineering management, oversight & coordination for BD gasfield development, Indonesia (non operated) as may be required$$$%%%&&&Economic analysis on New Ventures farm-in or acquisition opportunities, as well as economic analysis in support of development planning activities, including conceptual development plans, production forecasts & capital and operating cost forecasts.$$$%%%&&&Developing and recommending test programs for exploration, delineation and development drilling programs$$$%%%&&&Preparing recommendations and documentation in support of drilling and evaluation programs$$$%%%&&&Evaluation of exploration and development well results$$$%%%&&&Evaluating the recoverable resources/reserves for the various reservoirs in the Asia Pacific BU and stewarding the Asia Pacific business unit corporate reserves bookings/revisions, including coordination of external engineering evaluations, when required, and communicating key reserves issues to senior management$$$%%%&&&Preparation of production, reserves & operating cost forecasts for annual budget and Long Range Plan$$$%%%&&&Providing technical support for the Liwan 3-1, LH 29-1 and LH 34-2 Development Plans$$$%%%&&&Providing technical support for designing/optimizing laboratory test programs in support of appraisal and development activities.$$$%%%&&&Implementing project plans and schedules in a timely manner$$$%%%&&&Ensuring that a culture of strong and effective team-work exists the various Project Teams
67;;;A Bachelor's of Science in Geoscience or Engineering$$$%%%&&&A Masterls Degree;A Masterls Degree;A Bachelor's of Science in Geoscience or Engineering;;;;;;;; 5-Jul-12;Subsurface Development;;15+ years of related industry experience$$$%%%&&&Strong knowledge of exploration and production operations;;15+ years of related industry experience$$$%%%&&&Strong knowledge of exploration and production operations;Experience developing 3-D geophysical, geological and reservoir fluid flow models$$$%%%&&&Sound knowledge of geological, geophysical and reservoir engineering disciplines with particular strength in reservoir engineering;;Experience developing 3-D geophysical, geological and reservoir fluid flow models$$$%%%&&&Sound knowledge of geological, geophysical and reservoir engineering disciplines with particular strength in reservoir engineering;;;;;;;;;;;;;;;;;;Subsurface Manager, Asia Pacific;;;Vice President, HOCL & Chief Geologist;;No;;;;;;Excellent communication skills, both written and verbal$$$%%%&&&Excellent time management and organizational skills;;Excellent communication skills, both written and verbal$$$%%%&&&Excellent time management and organizational skills;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;Ensure a high level of HS&E awareness is maintained at all times$$$%%%&&&Set and manage the subsurface team’s budget$$$%%%&&&Formulate, recommend and implement project plans and schedules$$$%%%&&&Establish and manage the multi-disciplinary work scope for the subsurface team$$$%%%&&&Develop, recommend and manage exploration, delineation and development drilling programs $$$%%%&&&Provide and maintain commercial awareness$$$%%%&&&Ensure a high standard of both technical and commercial performance is achieved at all times$$$%%%&&&Help to formulate, support and advocate a common vision within the team$$$%%%&&&Build and maintain strong and effective managerial and technical relationships with China National Offshore Oil Corporation (CNOOC), it’s representatives and other regulatory agencies in China$$$%%%&&&Build and maintain strong and effective working relationships with internal stakeholders$$$%%%&&&Present and recommend evaluations and depletion plans to senior management, owner committees and regulatory bodies$$$%%%&&&Establish reservoir management strategy, set production and injection targets, and monitor field production performance, making updates as required to maximize project value
68;N/A;N/A;Bachelor Degree in Geoscience  $$$%%%&&&A Master of Science and/or Ph. D in a Geoscience discipline.;A Master of Science and/or Ph. D in a Geoscience discipline.;Bachelor Degree in Geoscience  ;Eligibility for Professional Geoscientist;;Eligibility for Professional Geoscientist;N/A;N/A;N/A;N/A; 23-Aug-13;Exploration & New Ventures, Asia Pacific;Frequently;Minimum 15 years experience working in exploration & development for a major oil company$$$%%%&&&Minimum 10 years experiences on pre drilling & post drilling evaluations, and design & execution of  appraisal program & field development program   ;;Minimum 15 years experience working in exploration & development for a major oil company$$$%%%&&&Minimum 10 years experiences on pre drilling & post drilling evaluations, and design & execution of  appraisal program & field development program   ;Strong management skills & experience managing G&G staff$$$%%%&&&Best understanding the exploration/new venture process & risk management $$$%%%&&&Good knowledge in G&G, Petrophysicist & reservoir engineering   ;;Strong management skills & experience managing G&G staff$$$%%%&&&Best understanding the exploration/new venture process & risk management $$$%%%&&&Good knowledge in G&G, Petrophysicist & reservoir engineering   ;N/A;Constantly;N/A;N/A;N/A;Shekou, China;N/A;N/A;N/A;N/A;N/A;N/A;Occasionally;N/A;N/A;This position represents a key technical & management position within the North Asia Exploration Team. Primary responsibilities will be supervising various geophysical & Geological activities within Husky’s existing exploration portfolio together with the identification, recommendation and managing of new venture exploration opportunities in North Asia. To be responsible for developing China Exploration and Exploitation strategies and liaison with Chinese and other North Asian countries upstream authorities.;N/A;Manager, Exploration & New Ventures, NA;N/A;N/A;VP, Exploration & New Ventures, AP;N/A;No;N/A;Constantly;N/A;N/A;N/A;Comprehensive  technical skills in new venture evaluation, prospect identification, well planning, G&G operations & developing field management$$$%%%&&&Good knowledge in resource booking, delineation program, development plan & industry practices  $$$%%%&&&Capability to integrate different disciplines within the organization  $$$%%%&&&Excellent communication & trouble shooting skills$$$%%%&&&Good working knowledge of the petroleum geology of North Asia;;Comprehensive  technical skills in new venture evaluation, prospect identification, well planning, G&G operations & developing field management$$$%%%&&&Good knowledge in resource booking, delineation program, development plan & industry practices  $$$%%%&&&Capability to integrate different disciplines within the organization  $$$%%%&&&Excellent communication & trouble shooting skills$$$%%%&&&Good working knowledge of the petroleum geology of North Asia;"Supervisor, Exploration, Taiwan (1);  Supervisor, Exploration, China(1);  Supervisor, New Ventures Exploration, NA (1); Admin Assistant Exploration, NA(1);  Technician Geoscience (1);   Sr Staff Geophysicist (1);  Office Manager, Taiwan (1)";N/A;N/A;Frequently;N/A;N/A;Occasionally;N/A;N/A;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;Technical supervising and managing play & prospect generation through application of a Petroleum Systems approach within existing Husky acreage as well as new venture opportunities within China & North Asia (offshore & onshore). Resources estimation and calculation and determine the well locations and evaluation programs$$$%%%&&&Assist in managing Husky’s interest in Wenchang fields including daily production, infill drilling location, new capital projects, field performance and reserve booking etc. To be responsible for future producing fields development in North Asia$$$%%%&&&Developing & implementing HOCL exploration & North Asia new venture strategies. Implementing & Monitoring Exploration Budgets. Ensure to implement project plans and schedules in a timely manner. Develop and implement geological study areas to offer Husky an excellent choice of opportunities with the min. spending$$$%%%&&&Supervising China and North Asia exploration & development operations including seismic acquisition, G&G operation related well drilling. Build the Husky North Asia exploration team and assign manpower efficiently in mix used or sole manner.  Ensuring a culture of strong and effective team-work exists in the exploration team.$$$%%%&&& Identifying, evaluating and recommending new business opportunities both onshore & offshore within China and North Asia region.  Take part in the petroleum contracts negotiation team before signing and in the joint management organizations of petroleum contracts as technical representatives after signing.  Develop the exploration work program to ensure petroleum contract areas are properly evaluated and the drilling risk is the lowest possible.$$$%%%&&&Managing and technical guidance on resource report (OOIP&OGIP) and Overall Development Plans (ODP) for meeting the regulatory requirement and approval. Interfacing with partners & government authorities, and the Expert Group leader to be responsible for managing Expert Group Meeting.$$$%%%&&&Represent Husky in dealing with the upstream aspects of the counterparts in foreign oil companies, national oil companies and government representatives.$$$%%%&&&Represent and/or delegate for Husky in North Asia scout check meetings  
69;;;Diploma (D3) or Bachelor Degree (S1);;Diploma (D3) or Bachelor Degree (S1);;;;;;;; 4-Jul-12;Indonesia (Non-Operation), Asia Pacific;;;;;Minimum of 10 years' progressive administrative/secretarial experience$$$%%%&&&Good knowledge of BPMIGAS, MIGAS and Manpower regulations relating to HR issues and Expatriates working permits;;Minimum of 10 years' progressive administrative/secretarial experience$$$%%%&&&Good knowledge of BPMIGAS, MIGAS and Manpower regulations relating to HR issues and Expatriates working permits;;;;;;;;;;;;;;;;The Executive Secretary will provide administrative support to the General Manager and the Indonesian team as well as provide human resources administrative support to the Finance Corporate Administration and Human Resources Managers.;;Executive Secretary;;;General Manager, Indonesia;;<Click to select>;;;;;;Fluent in English and Indonesian with strong verbal, written, and communication skills$$$%%%&&&Highly developed interpersonal skills with the ability to contribute to team objectives$$$%%%&&&Proven organization skills, with the ability to set priorities, follow-up and meet deadlines$$$%%%&&&Strong computer skills with proficiency in Microsoft Office Suite (Word and Excel);;Fluent in English and Indonesian with strong verbal, written, and communication skills$$$%%%&&&Highly developed interpersonal skills with the ability to contribute to team objectives$$$%%%&&&Proven organization skills, with the ability to set priorities, follow-up and meet deadlines$$$%%%&&&Strong computer skills with proficiency in Microsoft Office Suite (Word and Excel);;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Individual Contributor ;Manage expatriate documents (formalities) with BPMIGAS, MIGAS, Minister of Manpower, Immigration Department$$$%%%&&&Attend BPMIGAS, MIGAS, Manpower and other Government Agency meetings and keep track of policy/regulation changes, and manpower regulations$$$%%%&&&Prepare documentation and reports required by BPMIGAS, MIGAS and other government agencies$$$%%%&&&Arrange and prepare meetings with BPMIGAS, MIGAS, Minister of Manpower, etc.$$$%%%&&&Process personnel changes (registration of new hires, deletions of resignations, etc.)$$$%%%&&&Administration employee vacation days$$$%%%&&&Administer employee access cards and identification badges
70;;;A B.Sc./M.Sc. degree in the Geosciences;;A B.Sc./M.Sc. degree in the Geosciences;"APPEGA ""Professional Geologist"" designation or eligibility for same";;"APPEGA ""Professional Geologist"" designation or eligibility for same";;;;; 4-Jul-12;Indonesia (Non-Operations), Asia Pacific;;Indonesian work experience and knowledge with a strong networking and contact base within the Indonesian petroleum industry$$$%%%&&&Ability to apply Petroleum Systems concepts$$$%%%&&&Working knowledge of basin modeling and source rocks;Working knowledge of basin modeling and source rocks;Indonesian work experience and knowledge with a strong networking and contact base within the Indonesian petroleum industry$$$%%%&&&Ability to apply Petroleum Systems concepts;A minimum of 15 years' experience in international offshore field development and exploration, with at least 8 years working with Indonesia$$$%%%&&&A minimum of 10 years' experience in New Venture exploration$$$%%%&&&Sound knowledge of both geology and geophysics with a focus on international exploration and offshore field developments$$$%%%&&&Understanding of depositional systems, including both clastic and carbonate systems$$$%%%&&&Sound knowledge of geology and geophysics, with a focus on marine depositional systems, including lacustrine, shallow and deepwater environments, projects, data and mapping$$$%%%&&&Proven prospect generator and mapping experience with an ability to develop and integrate into regional geological models$$$%%%&&&Thorough understanding of well data/well log interpretation$$$%%%&&&Sound knowledge in facies identification and descriptions from core, cutting and petrophysical data;;A minimum of 15 years' experience in international offshore field development and exploration, with at least 8 years working with Indonesia$$$%%%&&&A minimum of 10 years' experience in New Venture exploration$$$%%%&&&Sound knowledge of both geology and geophysics with a focus on international exploration and offshore field developments$$$%%%&&&Understanding of depositional systems, including both clastic and carbonate systems$$$%%%&&&Sound knowledge of geology and geophysics, with a focus on marine depositional systems, including lacustrine, shallow and deepwater environments, projects, data and mapping$$$%%%&&&Proven prospect generator and mapping experience with an ability to develop and integrate into regional geological models$$$%%%&&&Thorough understanding of well data/well log interpretation$$$%%%&&&Sound knowledge in facies identification and descriptions from core, cutting and petrophysical data;;;;;;Jakarta, Indonesia;;;;;;;;;;The Exploration Manager provides key technical leadership to the Indonesian Exploration team. In this role you will proactively identify, evaluate and recommend New Venture Exploration opportunities to grow the business. Located in our Jakarta office, your primary responsibility will be to provide technical oversight for a small team of geoscientists together with managing budgets, directing work and ensuring quality. You have a strong geological and geophysical background. In addition to performing a supervisory function you will also be responsible for undertaking your own technical project work. This will include: Petroleum Systems analysis, play and prospect generation, geological/geophysical mapping, providing recommendations for drilling locations, developing well evaluation programs and evaluating drilling results.;;Exploration Manager, Indonesia;;;General Manager, Indonesia;;<Click to select>;;;;;;Strong command of the English language, with good oral and written communication skills$$$%%%&&&3D and 2D seismic interpretation skills$$$%%%&&&Ability to provide seismic interpretation and workstation capability$$$%%%&&&Proficiency in a range of geoscience software including Kingdom, Openworks, Geographix or equivalents$$$%%%&&&Strong leadership and management ingenuity with superior organizational skills;;Strong command of the English language, with good oral and written communication skills$$$%%%&&&3D and 2D seismic interpretation skills$$$%%%&&&Ability to provide seismic interpretation and workstation capability$$$%%%&&&Proficiency in a range of geoscience software including Kingdom, Openworks, Geographix or equivalents$$$%%%&&&Strong leadership and management ingenuity with superior organizational skills;;;;Occasionally;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;Assisting with building and maintaining a Jakarta based G&G team$$$%%%&&&Providing leadership to a small team of geologists, geophysicists & reservoir engineers$$$%%%&&&Developing, managing and executing work-plans and budgets$$$%%%&&&Basin analysis evaluations$$$%%%&&&Identification and evaluation of New Venture Exploration opportunities$$$%%%&&&Data room evaluations$$$%%%&&&Play and prospect generation through application of a Petroleum Systems approach$$$%%%&&&Interpreting well and seismic data$$$%%%&&&Developing and recommending well locations and evaluation programs$$$%%%&&&Preparing recommendations and documentation in support of drilling and evaluation programs$$$%%%&&&Implementing project plans and schedules in a timely manner$$$%%%&&&Ensuring that a culture of strong and effective team-work exists$$$%%%&&&Providing timely and effective reporting to the South East Asia Exploration and Subsurface Manager$$$%%%&&&Interfacing with partners and government authorities
71;;;;;;;;;;;;; 4-Jul-12;Indonesia (Non-Op), Asia Pacific;;;;;;;;;;;;;;;;;;;;;;;;;General Manager, Indonesia;;;Chief Operating Officer, Asia Pacific;;<Click to select>;;;;;;;;;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   <Click to Select> ;$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&$$$%%%&&&
72;;;;;;;;;;;;; 4-Jul-12;Indonesia (Non-Op), Asia Pacific;;At least 15 years experience in the oil and gas industry$$$%%%&&&Experience in Offshore Operations/Drilling/Production environments;;At least 15 years experience in the oil and gas industry$$$%%%&&&Experience in Offshore Operations/Drilling/Production environments;Start-up of new facilities, safety and environmental initiatives$$$%%%&&&Other areas of the value chain, e.g. reservoir engineering, production engineering, drilling, planning and controls, regulatory affairs, human resources and finance$$$%%%&&&Leading and building high performing teams with members of multicultural backgrounds in foreign operations;;Start-up of new facilities, safety and environmental initiatives$$$%%%&&&Other areas of the value chain, e.g. reservoir engineering, production engineering, drilling, planning and controls, regulatory affairs, human resources and finance$$$%%%&&&Leading and building high performing teams with members of multicultural backgrounds in foreign operations;;;;;;;;;;;;;;;;;;Operations Manager, Idonesia;;;General Manager, Indonesia;;<Click to select>;;;;;;Communication skills in a multicultural environment;;Communication skills in a multicultural environment;;;;;;;;;;Forward Thinking$$$%%%&&&Change Agility$$$%%%&&&Develops Potential$$$%%%&&&Communicates Effectively$$$%%%&&&Works Collaboratively$$$%%%&&&Technical Professional Skills$$$%%%&&&Drives for Results;   Manager ;Leading, planing, organizing, and controlling overall operations in production, drilling and completions, logistics, shore base management, and production engineering$$$%%%&&&Ownership of the production and drilling business plans$$$%%%&&&Ensuring safe, continuous and cost effective operations of shallow water and deepwater exploration drilling including the Liwan Delineation Project as well as Shore Base Operations$$$%%%&&&Accountability for all non-operated and operated production and operating cost budgets to ensure they are met and business plans exceeded$$$%%%&&&Ensuring inspection and maintenance of offshore facilities, including subsea installations, flowlines and risers are performed according to regulatory and company requirements$$$%%%&&&Providing and maintaining an onshore support infrastructure for preparation, planning and coordination of operational activities
